"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"9800",0.32,0.25,0.19,0.15,0.13,0.11,0.11,0.11,0.12,0.13,0.15,0.23,0.25,0.28,0.28,0.31,0.34,0.33,0.11
"9801",0.21,0.19,0.16,0.15,0.13,0.11,0.1,0.13,0.15,0.16,0.16,0.17,0.17,0.18,0.23,0.23,0.25,0.26,0.13
"9802",0.94,0.88,0.84,0.78,0.71,0.64,0.57,0.5,0.41,0.38,0.41,0.46,0.48,0.55,0.68,0.74,0.82,0.85,0.78
"9803",0.42,0.34,0.31,0.3,0.25,0.23,0.17,0.16,0.14,0.1,0.09,0.07,0.06,0.04,0.04,0.03,0.06,0.07,0.1
"9804",0.61,0.57,0.46,0.42,0.35,0.28,0.21,0.18,0.15,0.09,0.1,0.08,0.08,0.09,0.12,0.14,0.17,0.18,0.15
"9805",0.46,0.41,0.46,0.52,0.61,0.75,0.88,0.95,0.96,0.87,0.68,0.44,0.29,0.14,0.06,0.03,0.03,0.02,0.4
"9806",0.87,0.85,0.77,0.7,0.61,0.55,0.39,0.27,0.12,0.07,0.05,0.03,0.03,0.01,0.03,0.03,0.04,0.05,0.09
"9807",0.88,0.89,0.87,0.85,0.85,0.83,0.75,0.7,0.56,0.36,0.25,0.19,0.15,0.11,0.09,0.09,0.09,0.08,0.43
"9808",0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.1,0.15,0.19,0
"9809",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.06,0
"9810",0.57,0.55,0.55,0.54,0.57,0.53,0.54,0.55,0.49,0.5,0.5,0.47,0.44,0.4,0.41,0.4,0.42,0.42,0.54
"9811",0.16,0.13,0.13,0.13,0.18,0.16,0.21,0.22,0.27,0.29,0.33,0.36,0.35,0.38,0.39,0.44,0.43,0.44,0.22
"9812",0.54,0.54,0.48,0.48,0.42,0.36,0.28,0.25,0.25,0.27,0.27,0.3,0.31,0.35,0.34,0.42,0.49,0.54,0.37
"9813",0.04,0.04,0.06,0.08,0.1,0.14,0.16,0.18,0.17,0.18,0.19,0.18,0.18,0.21,0.19,0.18,0.22,0.26,0.13
"9814",0.12,0.13,0.11,0.12,0.14,0.14,0.15,0.17,0.18,0.21,0.18,0.19,0.2,0.21,0.29,0.32,0.33,0.37,0.19
"9815",0.11,0.08,0.06,0.05,0.03,0.03,0.02,0.02,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.04,0.07,0.12,0.03
"9816",0.25,0.26,0.25,0.24,0.29,0.32,0.4,0.46,0.52,0.51,0.53,0.57,0.62,0.62,0.7,0.75,0.8,0.88,0.57
"9817",0.64,0.73,0.79,0.91,0.96,0.95,0.8,0.62,0.44,0.24,0.14,0.08,0.05,0.03,0.03,0.03,0.05,0.09,0.31
"9818",0.13,0.1,0.06,0.05,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.02,0.04,0.09,0.13,0.21,0.28,0.34,0.02
"9819",0.13,0.13,0.17,0.22,0.27,0.31,0.41,0.45,0.56,0.61,0.61,0.56,0.53,0.42,0.35,0.32,0.31,0.25,0.32
"9820",0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.1,0.11,0.17,0.3,0.44,0.63,0.72,0.8,0.83,0.88,0.95,0.15
"9821",0.44,0.5,0.64,0.73,0.8,0.88,0.91,0.82,0.66,0.55,0.42,0.32,0.24,0.22,0.23,0.24,0.24,0.24,0.52
"9822",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.07,0
"9823",0.96,0.91,0.88,0.84,0.79,0.8,0.79,0.8,0.78,0.79,0.78,0.79,0.74,0.75,0.73,0.66,0.6,0.55,0.91
"9824",0.47,0.39,0.33,0.28,0.24,0.2,0.18,0.19,0.24,0.3,0.35,0.41,0.47,0.47,0.49,0.45,0.39,0.4,0.3
"9825",0.08,0.06,0.04,0.03,0.03,0.01,0,0.01,0.01,0.03,0.03,0.02,0.04,0.06,0.07,0.07,0.09,0.09,0.02
"9826",0.58,0.55,0.52,0.46,0.46,0.43,0.41,0.39,0.34,0.35,0.36,0.37,0.43,0.54,0.62,0.66,0.71,0.78,0.48
