"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"7930",0.71,0.7,0.69,0.62,0.5,0.45,0.39,0.3,0.25,0.23,0.2,0.17,0.18,0.17,0.18,0.22,0.28,0.35,0.29
"7931",0.93,0.94,0.97,0.99,1,1,1,0.96,0.9,0.79,0.66,0.61,0.5,0.47,0.48,0.49,0.51,0.51,0.9
"7932",0.84,0.83,0.84,0.74,0.72,0.67,0.62,0.62,0.61,0.65,0.62,0.62,0.6,0.52,0.5,0.44,0.43,0.39,0.74
"7933",0.68,0.67,0.62,0.58,0.55,0.51,0.46,0.46,0.44,0.43,0.43,0.43,0.44,0.45,0.46,0.45,0.44,0.41,0.53
"7934",0.25,0.28,0.3,0.3,0.34,0.41,0.48,0.56,0.67,0.74,0.81,0.79,0.77,0.75,0.68,0.65,0.57,0.51,0.63
"7935",0.17,0.13,0.08,0.07,0.04,0.02,0.02,0.02,0.01,0,0.02,0.02,0.04,0.05,0.06,0.09,0.13,0.19,0.02
"7936",0.18,0.19,0.17,0.2,0.22,0.27,0.39,0.54,0.65,0.81,0.9,0.94,0.93,0.89,0.82,0.75,0.65,0.56,0.55
"7937",0.29,0.22,0.24,0.2,0.19,0.16,0.16,0.2,0.25,0.35,0.52,0.74,0.82,0.94,0.97,0.99,0.92,0.9,0.45
"7938",0.69,0.65,0.55,0.49,0.38,0.29,0.23,0.15,0.1,0.09,0.09,0.07,0.06,0.04,0.06,0.07,0.07,0.08,0.09
"7939",0.11,0.1,0.06,0.05,0.04,0.04,0.03,0.03,0.04,0.06,0.07,0.07,0.08,0.09,0.09,0.11,0.12,0.12,0.05
"7940",0.61,0.67,0.7,0.81,0.87,0.88,0.94,0.99,1,1,0.98,0.98,0.96,0.94,0.93,0.93,0.94,0.94,0.98
"7941",0.13,0.08,0.05,0.04,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.1,0.14,0.15,0.19,0.21,0.29,0.32,0.06
"7942",0.22,0.29,0.28,0.3,0.34,0.36,0.37,0.4,0.38,0.38,0.44,0.5,0.54,0.63,0.66,0.68,0.68,0.67,0.51
