"","Gene","Bh.10.1","Bh.10.2","Bh.10.3","Bh.14.1","Bh.14.2","Bh.14.3","Bh.18.1","Bh.18.2","Bh.18.3","Bh.22.1","Bh.22.2","Bh.22.3","Bh.2.1","Bh.2.2","Bh.2.3","Bh.6.1","Bh.6.2","Bh.6.3"
"5133","Bradi2g06460.v3.1",13.05165362,13.64440101,9.895119204,11.99369538,17.69010719,16.51153043,23.47907837,19.10242578,8.878353243,19.41983757,19.21301974,17.06042245,28.04488113,14.52111341,27.56957323,17.2127093,20.0198597,11.34400237
"5135","Bradi2g06490.v3.1",167.1684402,171.0175347,158.695308,152.8427334,179.4756885,192.8023218,163.8711018,178.6280028,189.8332108,159.9526407,183.2306601,186.0327805,169.187633,215.5504001,188.2399338,175.7013168,140.4567935,172.2453301
"5136","Bradi2g06497.v3.1",12.15770474,6.937831021,8.401516306,5.720070102,6.56111957,7.148284517,8.121188067,3.861128616,6.191483183,7.934987395,6.903379387,8.159332478,9.254104354,7.722210597,9.768027602,6.207862371,3.177755508,5.338354055
"5137","Bradi2g06520.v3.1",429.2742512,465.412831,419.8891149,432.94165,383.0364994,339.5938546,318.6561219,379.6099081,359.5733063,353.7333855,350.7415768,397.2111402,318.9487111,298.8999123,295.1404976,454.9610649,500.0516067,460.2662137
"5138","Bradi2g06570.v3.1",5.184903492,9.250441362,9.054967574,3.505849417,6.31196313,8.859845599,6.110993001,4.877215094,6.541944495,6.995317835,5.822127194,5.785708484,6.287139599,8.897329601,8.763837849,7.806857224,6.228400796,3.002824156
"5139","Bradi2g06580.v3.1",4.946517125,5.781525851,6.34781232,2.767775856,5.315337373,4.027202545,4.181205738,2.438607547,3.971894872,5.846832818,4.657701755,7.12087198,6.428423635,2.853860438,6.572878387,4.702926038,3.94041683,6.339295441
"5140","Bradi2g06590.v3.1",35.8771483,30.29519546,43.87458515,33.70535931,31.22760707,34.13054157,48.96835181,32.81959324,25.46685536,47.40110891,39.75681141,37.2362264,65.20258259,63.62430035,36.97244093,43.64315364,33.81131861,34.86612492
"5141","Bradi2g06610.v3.1",218.004333,233.9205359,236.6427093,153.7038192,197.913265,231.1614261,204.6378577,220.1859398,284.3409447,226.5647717,253.3457062,282.238728,251.3442999,266.0805173,233.4284727,195.9238988,193.843086,210.6981616
"5142","Bradi2g06620.v3.1",19.66687531,20.58223203,21.47054167,39.24091102,31.72591994,26.98225705,39.6410467,53.44614874,24.64911229,34.76777372,39.25777194,28.18678492,22.60544575,34.49813647,18.16670554,26.52450286,25.0407134,25.52400533
"5143","Bradi2g06627.v3.1",30.15587548,44.1708575,35.28636848,26.69366048,39.8650303,34.53326182,36.18351119,40.84667641,52.56919683,43.53802295,52.56549124,40.87083814,41.60814859,44.82239629,36.88115095,47.40549447,40.80238072,45.37600947
