Gene,BhBs.10.1,BhBs.10.2,BhBs.10.3,BhBs.14.1,BhBs.14.2,BhBs.14.3,BhBs.18.1,BhBs.18.2,BhBs.18.3,BhBs.22.1,BhBs.22.2,BhBs.22.3,BhBs.2.1,BhBs.2.2,BhBs.2.3,BhBs.6.1,BhBs.6.2,BhBs.6.3
Bradi1g26050.v3.1,43.34416012,50.32307414,33.29666261,33.85819787,40.03373599,33.04970799,40.68779033,27.63883306,39.34971378,32.56860556,33.653796,43.92697495,42.26873252,42.58077255,42.54661654,39.05441824,30.96294368,38.22375404
Bradi1g26060.v3.1,69.5438335,49.3868309,70.20839144,43.22854783,55.84537962,64.66247216,70.10065081,66.00318342,60.81319403,61.33049098,66.80278505,71.70210688,66.56606517,78.80876855,102.82099,51.81854517,43.60614568,60.13870636
Bradi1g26070.v3.1,50.46757362,45.87591875,50.80119381,49.10063381,52.98582705,58.70941917,70.91767471,52.39002684,50.79690325,60.06158427,54.85568747,62.94690225,78.35530349,38.1166593,64.56635667,59.81993818,54.3141637,56.74103933
Bradi1g26080.v3.1,13.40167625,19.19298641,19.02666435,15.49231194,15.47522568,13.5483275,13.23578722,12.37559689,15.5014024,14.59242716,16.32209106,16.90660204,19.40911187,18.37154299,14.55542145,11.62107079,8.643821777,13.08101805
Bradi1g26090.v3.1,48.29432882,42.59906741,41.85866157,25.2374759,33.13716803,50.08775621,44.11929072,33.8266315,40.06516313,41.87392143,42.067245,46.64410742,48.45089408,47.38827913,58.96811766,36.57779659,31.73701727,25.48250269
Bradi1g26110.v3.1,3.50133884,5.851520248,6.088532591,9.370349964,4.878060268,3.079165341,5.065548194,10.51925736,7.631459643,7.824924712,14.13459432,5.283313138,5.750847963,3.949023261,3.732159345,5.334262003,5.547527409,7.474867457
Bradi1g26120.v3.1,1.207358221,1.63842567,1.712399791,3.623201986,2.523134621,6.363608371,3.921714731,1.237559689,5.723594732,5.287111292,7.572104099,5.434264942,3.162966379,6.696169877,3.358943411,1.143056143,3.999380225,3.057900323
Bradi1g26180.v3.1,21.61171215,25.74668909,19.97799757,10.74466796,23.88567442,15.19054902,13.399192,14.43819637,31.47977103,11.42016039,27.25957476,12.98185514,22.42830705,13.73573308,20.90009233,16.38380472,11.86912841,9.17370097
Bradi1g26190.v3.1,20.64582557,18.25674317,19.02666435,53.59840179,34.31463085,33.87081875,30.39328916,19.38843513,24.0867945,18.39914729,19.3509327,21.43515616,10.63906873,11.67537312,6.531278854,7.62037429,7.482711389,1.698833513
Bradi1g26197.v3.1,41.77459443,58.28114167,61.2658592,55.84728578,69.63851555,59.11997455,54.74060145,53.83384647,51.51235259,64.29127331,81.61045529,65.66403472,50.46369087,47.73167245,58.40829375,69.15489668,53.79811464,57.42057274
